CPU,Working Set,Private Bytes,Number of Handles
-nan(ind),2568192,466944,0
0.900916,43024384,86921216,486
0.385891,50192384,93491200,488
3.73699,133636096,176361472,530
7.71579,179204096,212156416,621
11.5772,190087168,223051776,771
16.8679,195346432,224419840,794
12.7321,199770112,229445632,804
10.2228,205365248,232960000,823
10.7297,207282176,232960000,824
12.9403,210202624,233168896,827
10.4608,201015296,221671424,827
10.6534,202641408,228315136,828
15.0107,270295040,290349056,831
10.859,270954496,290414592,832
10.6005,271720448,290947072,833
9.33555,271716352,290930688,834
10.2127,271720448,290930688,835
10.3317,271732736,290942976,835
11.258,266489856,285696000,835
12.0225,261931008,281071616,836
12.0106,261038080,280166400,836
10.7618,261038080,280166400,836
10.859,261042176,280166400,836
10.3419,261177344,280166400,835
12.4103,261210112,280170496,836
11.9169,261558272,280170496,836
10.3317,262737920,280285184,840
12.281,263819264,280285184,843
10.0834,264781824,280285184,842
10.4608,264855552,280285184,843
10.9774,264826880,280199168,841
9.96401,264826880,280199168,840
9.56131,264302592,279674880,840
10.1234,264314880,279674880,842
10.8758,264314880,279674880,843
11.1508,264314880,279674880,843
11.6347,264323072,279674880,844
10.6005,264323072,279674880,844
10.6004,264376320,279674880,844
9.96377,264445952,279674880,844
10.0833,264544256,279674880,849
10.4817,264548352,279674880,853
12.1395,264548352,279674880,854
12.5896,264785920,279674880,859
12.4227,264785920,279674880,864
11.3874,264790016,279674880,868
10.4816,264794112,279674880,870
10.7618,264794112,279674880,870
11.3761,264794112,279674880,870
13.1729,264794112,279674880,870
11.2805,264794112,279674880,870
10.1035,264871936,279674880,870
11.0102,264871936,279674880,874
11.1397,264884224,279674880,877
11.3648,264884224,279674880,878
10.2127,264884224,279674880,878
10.3419,264884224,279674880,878
11.5168,264884224,279674880,878
12.6941,264888320,279674880,878
10.7404,264790016,279453696,878
9.97392,264790016,279453696,869
9.69556,264790016,279453696,869
12.1518,264876032,279453696,870
12.281,265035776,279584768,873
10.3887,20480,65536,0
